178.54.21.203	8081	HTTP	None	Ukraine Proxy Ukraine	Kyiv Oblast	Vyshhorod	24.5%	
156.200.116.78	1976	HTTP	None	Egypt Proxy Egypt			43.2%	
185.237.98.85	80	HTTP	None	United Kingdom Proxy United Kingdom	England	London	58.1%	
164.92.79.71	3128	HTTPS	None	United States Proxy United States	California	Santa Clara	35.6%	
39.108.58.5	22	HTTP	None	China Proxy China	Guangdong	Shenzhen	33.9%	
103.148.178.228	80	HTTP	None	Bangladesh Proxy Bangladesh	Dhaka	Dhaka	64.4%	
124.204.33.162	8000	HTTP	None	China Proxy China	Beijing	Beijing	75.8%	
213.230.71.230	8080	HTTP	None	Uzbekistan Proxy Uzbekistan	Tashkent	Tashkent	66.4%	
159.65.133.175	31280	HTTPS	None	Singapore Proxy Singapore		Singapore	23.3%	
128.199.214.87	3128	HTTPS	None	Singapore Proxy Singapore		Singapore	17.6%	
103.73.194.2	80	HTTP	None	Hong Kong Proxy Hong Kong			46.7%	
43.255.113.232	8082	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	41.3%	
41.33.47.147	1976	HTTP	None	Egypt Proxy Egypt	Dakahlia	Talkha	22.1%	
114.67.71.184	3128	HTTPS	None	China Proxy China			86.4%	
20.81.62.32	3128	HTTP	None	United States Proxy United States	Virginia	Tappahannock	24.0%	
107.151.182.247	80	HTTP	None	United States Proxy United States			90.3%	
120.220.220.95	8085	HTTP	None	China Proxy China	Beijing	Beijing	86.9%	
122.9.101.6	8888	HTTP	None	China Proxy China	Beijing	Beijing	42.6%	
43.255.113.232	83	HTTP	None	Cambodia Proxy Cambodia	Phnom Penh	Phnom Penh	40.2%	
118.31.1.154	80	HTTPS	None	China Proxy China	Zhejiang	Hangzhou	18.2%	
167.172.239.13	3128	HTTP	None	United States Proxy United States	New Jersey	Clifton	15.0%	
113.214.4.8	84	HTTP	None	China Proxy China			12.8%	
69.230.221.141	1080	HTTP	None	China Proxy China	Ningxia Hui Autonomous Region	Ningxia Hui Autonomous Region	49.2%	
